lineup,weapon,feature,id
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,foil
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,no,yes,reject
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,correct
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,foil
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,no,reject
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,correct
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,foil
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Simultaneous,yes,yes,reject
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,correct
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,foil
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,no,reject
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,correct
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,foil
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,no,yes,reject
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,correct
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,foil
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,no,reject
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,correct
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,foil
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
Sequential 5,yes,yes,reject
