natmass,age,sex,sei10,region,polviews
Too little,36,Female,55.1,Middle atlantic,Extremely liberal
About right,37,Female,72.7,Middle atlantic,Extremely liberal
About right,78,Female,67.7,Middle atlantic,Extremely liberal
About right,42,Male,83.8,Middle atlantic,Slightly liberal
About right,35,Female,32.6,Middle atlantic,Slghtly conservative
Too little,33,Male,65.1,Middle atlantic,Slghtly conservative
About right,44,Male,25.2,Middle atlantic,Moderate
Too little,41,Male,61.9,Middle atlantic,Moderate
About right,52,Male,55.3,Middle atlantic,Moderate
About right,45,Female,81.9,Middle atlantic,Moderate
About right,41,Female,20.7,Middle atlantic,Moderate
Too little,68,Male,58.4,Middle atlantic,Slightly liberal
Too little,57,Female,24.2,Middle atlantic,Moderate
Too little,72,Male,56.3,Middle atlantic,Extremely liberal
Too little,50,Male,86.6,Middle atlantic,Slightly liberal
Too little,40,Male,57.8,Middle atlantic,Slightly liberal
Too little,58,Male,60.1,Middle atlantic,Extremely liberal
Too little,43,Male,27.6,Middle atlantic,Extremely liberal
Too little,25,Male,61.4,Middle atlantic,Moderate
About right,33,Male,92.8,Middle atlantic,Slightly liberal
About right,27,Male,38.8,Middle atlantic,Slightly liberal
About right,58,Female,56.8,Middle atlantic,Moderate
About right,66,Female,43,Middle atlantic,Moderate
Too little,66,Male,28.7,Middle atlantic,Moderate
Too little,29,Female,67.7,Middle atlantic,Extremely liberal
Too much,89 or older,Female,13.2,Middle atlantic,Moderate
About right,78,Female,38.3,Middle atlantic,Moderate
Too little,52,Female,26.1,Middle atlantic,Slightly liberal
Too little,50,Male,32,Middle atlantic,Moderate
About right,25,Female,41.8,Middle atlantic,Conservative
Too little,37,Male,37.6,Middle atlantic,Slightly liberal
About right,54,Female,76.3,Middle atlantic,Moderate
About right,52,Male,28.5,Middle atlantic,Moderate
About right,48,Male,24,Middle atlantic,Moderate
About right,32,Female,92.8,Middle atlantic,Moderate
About right,29,Female,60.3,Middle atlantic,Liberal
Too little,75,Female,54.1,Middle atlantic,Slightly liberal
Too little,59,Female,83.4,Middle atlantic,Extremely liberal
Too little,81,Male,56.9,Middle atlantic,Moderate
About right,69,Female,45.1,Middle atlantic,Moderate
Too little,55,Female,82.5,Middle atlantic,Slightly liberal
Too much,52,Female,25.7,Middle atlantic,Moderate
About right,33,Female,38.3,Middle atlantic,Extrmly conservative
About right,56,Male,67.7,Middle atlantic,Moderate
About right,71,Male,80.9,Middle atlantic,Slghtly conservative
Too little,21,Male,0,Middle atlantic,Moderate
About right,49,Female,46.5,Middle atlantic,Moderate
Too little,26,Male,67.7,Middle atlantic,Slghtly conservative
Too little,33,Female,72.7,Middle atlantic,Liberal
Too little,36,Male,39.7,Middle atlantic,Slghtly conservative
About right,68,Male,31.6,Middle atlantic,Moderate
About right,27,Female,64.2,Middle atlantic,Conservative
About right,60,Female,52,Middle atlantic,Moderate
About right,48,Male,38.2,Middle atlantic,Moderate
About right,47,Female,54.6,Middle atlantic,Moderate
About right,36,Female,37.8,Middle atlantic,Slightly liberal
About right,89 or older,Female,38.3,Middle atlantic,Moderate
Too little,64,Female,59.9,New england,Conservative
About right,38,Female,38.8,New england,Moderate
Too much,62,Male,25.1,New england,Slghtly conservative
About right,62,Female,82.5,New england,Conservative
Too much,65,Female,42.9,New england,Extremely liberal
Too little,60,Male,67.7,New england,Slghtly conservative
Too much,62,Male,45.4,New england,Extrmly conservative
Too little,51,Female,67.7,Pacific,Liberal
About right,43,Female,78.3,Pacific,Slightly liberal
Too little,47,Male,43,Pacific,Moderate
About right,57,Female,67.7,Pacific,Slghtly conservative
Too little,30,Male,59.1,Pacific,Liberal
Too little,39,Male,52.3,Pacific,Liberal
Too little,37,Female,61.4,Pacific,Slightly liberal
Too little,61,Female,82.5,Pacific,Liberal
About right,58,Male,31.1,Pacific,Moderate
Too little,52,Female,61.4,Pacific,Moderate
About right,46,Female,0,Pacific,Moderate
About right,25,Female,65.3,Pacific,Moderate
About right,54,Male,31.2,Pacific,Liberal
About right,33,Female,46.6,Pacific,Extrmly conservative
Too little,33,Male,77,Pacific,Slightly liberal
Too little,61,Female,19.6,Pacific,Slightly liberal
Too little,65,Female,13.2,Pacific,Slghtly conservative
About right,66,Female,0,Pacific,Extrmly conservative
Too little,57,Female,73.6,Pacific,Moderate
Too little,50,Male,28.5,Pacific,Moderate
Too much,75,Male,38.3,Pacific,Slghtly conservative
Too much,22,Female,21.6,Pacific,Moderate
Too little,27,Male,41,Pacific,Slightly liberal
Too little,55,Male,33.4,Pacific,Moderate
Too little,49,Female,65.3,Pacific,Slightly liberal
About right,51,Female,52,Pacific,Moderate
Too little,56,Male,59.1,Pacific,Extremely liberal
About right,41,Female,43,Pacific,Moderate
Too little,67,Male,59.4,Pacific,Slghtly conservative
Too little,38,Female,29.4,Pacific,Moderate
Too little,76,Female,84.2,Pacific,Conservative
Too little,66,Male,20.7,Pacific,Liberal
About right,84,Female,38.3,Pacific,Extrmly conservative
Too much,32,Male,0,Pacific,Extrmly conservative
Too much,46,Male,20.9,Pacific,Moderate
Too much,25,Male,39.7,Pacific,Conservative
About right,67,Male,77.4,Pacific,Slightly liberal
About right,34,Male,80.2,Pacific,Extremely liberal
About right,29,Female,0,Pacific,Slghtly conservative
Too much,51,Female,26.5,Pacific,Moderate
About right,39,Female,38.8,Pacific,Moderate
About right,39,Female,12.4,Pacific,Moderate
About right,51,Female,12.6,Pacific,Conservative
About right,40,Female,39.6,Pacific,Moderate
About right,32,Male,25.2,Pacific,Moderate
About right,38,Male,35.8,Pacific,Liberal
About right,79,Female,21.6,Pacific,Conservative
Too little,49,Male,64.5,Pacific,Slghtly conservative
Too little,22,Male,13.6,Pacific,Moderate
Too little,30,Male,69.3,Pacific,Moderate
Too little,47,Male,67.7,Pacific,Slghtly conservative
About right,55,Male,28.7,Pacific,Moderate
Too little,30,Male,39.7,Pacific,Moderate
Too little,29,Male,60.3,Pacific,Slightly liberal
Too little,37,Male,73.6,Pacific,Slightly liberal
Too little,67,Female,67.7,Pacific,Liberal
About right,38,Female,76.3,Pacific,Moderate
Too little,81,Female,24.6,Pacific,Moderate
Too little,35,Male,27,Pacific,Moderate
Too little,46,Male,69.3,Pacific,Slghtly conservative
About right,21,Male,0,Pacific,Slghtly conservative
About right,43,Male,66.1,Pacific,Moderate
Too little,45,Female,61.4,Pacific,Moderate
Too much,76,Female,71.7,Pacific,Slghtly conservative
About right,77,Male,32,Pacific,Moderate
About right,61,Female,35.8,Pacific,Moderate
About right,45,Female,32,Pacific,Moderate
Too little,47,Male,46,Pacific,Liberal
Too little,41,Male,85.2,Pacific,Liberal
Too little,25,Male,53,Pacific,Liberal
Too much,45,Male,77.4,Pacific,Slghtly conservative
About right,21,Male,25.7,Pacific,Extrmly conservative
Too little,48,Female,37.2,Pacific,Moderate
Too little,25,Male,85.2,Pacific,Slightly liberal
About right,33,Female,52,Pacific,Moderate
Too much,72,Male,74.8,Pacific,Conservative
Too little,70,Female,38.1,Pacific,Conservative
Too little,66,Female,87.3,Pacific,Moderate
Too little,57,Female,87.9,Pacific,Conservative
Too little,81,Male,89.1,Pacific,Slghtly conservative
Too little,23,Male,82.5,Pacific,Slghtly conservative
Too little,48,Female,84.2,Pacific,Conservative
About right,62,Female,21.6,Pacific,Conservative
Too little,43,Male,67.7,Pacific,Conservative
About right,34,Female,21.8,Pacific,Liberal
About right,36,Male,28.7,Pacific,Slghtly conservative
About right,37,Male,24,Pacific,Slghtly conservative
About right,32,Male,55.3,Pacific,Slightly liberal
Too little,53,Female,12.6,Pacific,Liberal
About right,42,Male,28.4,Pacific,Conservative
Too little,44,Female,87.9,Pacific,Liberal
About right,36,Female,41.1,Pacific,Moderate
About right,49,Male,74.8,Pacific,Moderate
Too little,35,Female,62,Pacific,Conservative
About right,47,Male,87.9,Pacific,Slghtly conservative
Too little,29,Male,23.3,Pacific,Liberal
Too little,36,Male,71,Pacific,Moderate
Too little,31,Male,19.7,Pacific,Slghtly conservative
About right,19,Male,0,Pacific,Moderate
About right,25,Male,32,Pacific,Slightly liberal
About right,30,Female,26.1,Pacific,Moderate
Too little,62,Male,46.5,Pacific,Slightly liberal
Too little,35,Female,80.9,Pacific,Conservative
Too little,41,Male,99.9,Pacific,Moderate
Too little,62,Female,84.5,Pacific,Extremely liberal
Too little,20,Male,27,Pacific,Slghtly conservative
About right,42,Male,52,Pacific,Moderate
About right,30,Female,41.1,Pacific,Liberal
Too little,26,Female,65.3,Pacific,Slghtly conservative
About right,58,Female,84.2,Pacific,Moderate
Too little,47,Female,92.2,Pacific,Extremely liberal
About right,44,Male,32,Pacific,Moderate
Too little,75,Female,84.5,Pacific,Extremely liberal
Too little,44,Female,71.4,Pacific,Moderate
Too little,36,Female,46.6,Pacific,Moderate
Too little,62,Female,67.7,Pacific,Slightly liberal
Too little,37,Male,80.7,Pacific,Slghtly conservative
Too much,69,Female,39.7,Pacific,Moderate
Too little,48,Male,34.6,Pacific,Moderate
Too little,44,Female,80.9,Pacific,Extremely liberal
About right,59,Male,39.7,Pacific,Extrmly conservative
Too little,61,Female,77.2,Pacific,Slightly liberal
About right,31,Male,84,Pacific,Moderate
Too much,49,Female,21.8,Pacific,Moderate
Too little,47,Female,0,Pacific,Moderate
About right,83,Female,35.1,E. nor. central,Conservative
Too little,38,Male,62.9,E. nor. central,Slghtly conservative
Too little,47,Male,46.6,E. nor. central,Extremely liberal
About right,28,Male,24.6,E. nor. central,Extremely liberal
About right,73,Female,38.8,E. nor. central,Conservative
Too little,31,Female,76.3,E. nor. central,Liberal
Too little,55,Male,91.1,E. nor. central,Liberal
About right,61,Male,59.1,E. nor. central,Slightly liberal
Too little,50,Male,65.3,E. nor. central,Moderate
About right,67,Female,21.8,E. nor. central,Moderate
About right,41,Male,36.4,E. nor. central,Slghtly conservative
About right,22,Female,21.8,E. nor. central,Conservative
Too little,60,Female,55.1,E. nor. central,Extremely liberal
Too little,36,Female,43,E. nor. central,Slightly liberal
About right,39,Female,91.1,E. nor. central,Liberal
Too little,40,Male,59.1,E. nor. central,Moderate
About right,23,Female,0,E. nor. central,Moderate
Too little,63,Female,38.3,E. nor. central,Moderate
About right,60,Male,13.6,E. nor. central,Moderate
About right,40,Male,32,E. nor. central,Extrmly conservative
About right,40,Male,73.6,E. nor. central,Moderate
About right,30,Female,62.9,E. nor. central,Moderate
Too little,43,Female,37.6,E. nor. central,Moderate
Too little,58,Male,87.6,E. nor. central,Moderate
Too little,44,Male,73.4,E. nor. central,Moderate
Too little,69,Male,43.8,E. nor. central,Liberal
About right,66,Male,74.8,E. nor. central,Slightly liberal
About right,43,Male,20.9,E. nor. central,Moderate
About right,37,Male,46,E. nor. central,Slightly liberal
About right,28,Male,17.5,E. nor. central,Moderate
Too little,69,Female,73.4,E. nor. central,Liberal
About right,27,Female,0,E. nor. central,Extremely liberal
About right,60,Female,61.4,E. nor. central,Conservative
About right,62,Female,36.5,E. nor. central,Moderate
About right,74,Male,0,E. nor. central,Extrmly conservative
About right,32,Female,14,E. nor. central,Slghtly conservative
Too little,68,Female,35.8,E. nor. central,Moderate
Too little,39,Male,43.9,E. nor. central,Slghtly conservative
About right,21,Female,24.6,E. nor. central,Moderate
Too much,52,Female,68.6,E. nor. central,Slightly liberal
About right,46,Male,71,E. nor. central,Slghtly conservative
About right,56,Male,59.1,E. nor. central,Slghtly conservative
Too much,60,Male,70.5,E. nor. central,Slghtly conservative
About right,22,Male,61.2,E. nor. central,Slghtly conservative
About right,35,Male,39.9,E. nor. central,Moderate
Too little,42,Female,78.3,E. nor. central,Slghtly conservative
About right,58,Male,43,E. nor. central,Conservative
About right,32,Female,43.9,E. nor. central,Moderate
Too little,59,Female,25.7,E. nor. central,Conservative
About right,20,Male,59.1,E. nor. central,Moderate
Too little,44,Male,43.8,E. nor. central,Moderate
Too little,34,Female,24.6,E. nor. central,Slightly liberal
About right,62,Female,71.8,E. nor. central,Conservative
About right,59,Male,31.6,E. nor. central,Slightly liberal
About right,51,Female,38.8,E. nor. central,Slghtly conservative
Too little,37,Male,77.2,E. nor. central,Moderate
About right,50,Male,99.9,E. nor. central,Liberal
About right,40,Female,37.6,E. nor. central,Moderate
About right,53,Male,18.6,E. nor. central,Moderate
About right,52,Male,31,E. nor. central,Moderate
About right,52,Female,21.8,E. nor. central,Slightly liberal
Too little,36,Female,99.9,E. nor. central,Liberal
Too much,56,Male,63.7,E. nor. central,Extrmly conservative
About right,64,Female,37.6,E. nor. central,Liberal
About right,62,Female,80.9,South atlantic,Moderate
About right,35,Female,77.2,South atlantic,Slghtly conservative
About right,60,Male,52,South atlantic,Moderate
About right,36,Female,38.8,South atlantic,Moderate
Too little,62,Female,55.3,South atlantic,Slghtly conservative
About right,30,Male,65.1,South atlantic,Moderate
About right,27,Male,28.7,South atlantic,Moderate
Too little,60,Female,67.8,South atlantic,Moderate
Too little,51,Male,34.5,South atlantic,Moderate
About right,42,Female,35.3,South atlantic,Conservative
About right,59,Male,24,South atlantic,Slightly liberal
About right,49,Male,32.6,South atlantic,Liberal
About right,53,Female,67.7,South atlantic,Conservative
About right,47,Male,68,South atlantic,Slghtly conservative
About right,47,Female,88.7,South atlantic,Conservative
About right,80,Female,84.5,South atlantic,Liberal
Too little,34,Female,85.5,South atlantic,Moderate
About right,31,Male,45.1,South atlantic,Moderate
Too much,29,Female,41.1,South atlantic,Moderate
Too little,68,Female,84.5,South atlantic,Liberal
About right,89 or older,Male,75.5,South atlantic,Moderate
Too little,76,Female,77.4,South atlantic,Moderate
About right,64,Male,43,South atlantic,Slightly liberal
About right,40,Female,43,South atlantic,Slightly liberal
About right,27,Female,67.7,South atlantic,Slghtly conservative
Too little,56,Female,75.5,South atlantic,Slightly liberal
About right,71,Female,38.8,South atlantic,Moderate
About right,29,Female,20.1,South atlantic,Liberal
About right,74,Female,71.8,South atlantic,Extremely liberal
Too little,30,Female,75.6,South atlantic,Slightly liberal
About right,65,Female,62.9,South atlantic,Liberal
Too little,41,Female,24.6,South atlantic,Moderate
Too little,38,Male,73.4,South atlantic,Liberal
Too little,49,Male,82.7,South atlantic,Extremely liberal
Too little,25,Male,84.5,South atlantic,Liberal
Too little,25,Female,88.3,South atlantic,Liberal
Too little,26,Female,20.1,South atlantic,Slightly liberal
About right,34,Female,67.8,South atlantic,Liberal
Too much,34,Female,37.6,South atlantic,Liberal
About right,36,Male,37.6,South atlantic,Moderate
About right,59,Male,18.6,South atlantic,Liberal
About right,49,Female,41,South atlantic,Conservative
Too little,45,Female,84.2,South atlantic,Slghtly conservative
About right,34,Male,20.7,South atlantic,Moderate
About right,44,Male,86.1,South atlantic,Slghtly conservative
Too little,66,Female,82.4,South atlantic,Slightly liberal
About right,53,Female,74.8,South atlantic,Moderate
Too little,59,Female,84.5,South atlantic,Extremely liberal
Too little,43,Female,77.4,South atlantic,Slightly liberal
About right,44,Male,65.3,South atlantic,Slightly liberal
About right,37,Male,80.9,South atlantic,Conservative
Too little,37,Male,56.9,South atlantic,Moderate
About right,48,Male,44.6,South atlantic,Conservative
About right,34,Female,41.1,South atlantic,Moderate
About right,25,Male,59.1,South atlantic,Conservative
About right,44,Female,25.7,South atlantic,Slghtly conservative
Too much,63,Female,24.2,South atlantic,Conservative
Too much,26,Male,58.4,South atlantic,Slightly liberal
Too little,64,Female,38.8,South atlantic,Moderate
Too little,21,Male,20.7,South atlantic,Moderate
Too little,31,Female,24.2,South atlantic,Liberal
About right,27,Female,37.6,South atlantic,Moderate
Too little,53,Female,84.2,South atlantic,Liberal
About right,70,Female,67.7,South atlantic,Slightly liberal
About right,53,Female,69.3,South atlantic,Moderate
Too little,59,Male,85.2,South atlantic,Liberal
About right,47,Male,80.2,South atlantic,Slightly liberal
About right,27,Male,55.3,South atlantic,Liberal
About right,52,Male,34.8,South atlantic,Slghtly conservative
Too little,26,Female,39.7,South atlantic,Liberal
About right,24,Female,25.2,South atlantic,Conservative
About right,25,Female,41.1,South atlantic,Moderate
About right,44,Male,27.6,South atlantic,Liberal
About right,29,Male,31.2,South atlantic,Conservative
About right,57,Female,67.8,South atlantic,Slghtly conservative
About right,61,Male,32,South atlantic,Moderate
Too little,66,Male,52.4,South atlantic,Slghtly conservative
Too little,48,Female,12.6,New england,Extremely liberal
Too little,26,Male,87.9,New england,Liberal
About right,29,Female,86.9,New england,Slightly liberal
Too little,48,Male,44.6,New england,Slightly liberal
Too little,30,Male,55.1,New england,Liberal
Too much,56,Male,38.8,New england,Slghtly conservative
Too little,28,Male,20.7,New england,Slghtly conservative
About right,65,Male,36.2,New england,Moderate
Too little,43,Male,18.6,New england,Extremely liberal
Too little,49,Male,73.9,New england,Slightly liberal
About right,19,Female,61.4,New england,Moderate
About right,30,Female,61.4,New england,Slghtly conservative
About right,67,Male,58.4,New england,Moderate
About right,37,Female,37.2,New england,Moderate
Too little,40,Male,34.6,New england,Extremely liberal
About right,65,Male,87.9,New england,Moderate
About right,63,Female,21.8,New england,Slghtly conservative
About right,34,Female,68.6,New england,Slightly liberal
Too little,37,Female,73.9,New england,Moderate
Too little,48,Female,57.8,New england,Moderate
Too much,81,Male,18.6,New england,Moderate
About right,58,Female,92.8,New england,Extremely liberal
Too little,64,Female,69.3,New england,Moderate
About right,37,Female,67.7,New england,Liberal
About right,66,Male,81.9,New england,Liberal
Too much,31,Male,69.4,New england,Slghtly conservative
Too little,64,Male,59.4,New england,Slghtly conservative
Too little,57,Female,76.3,New england,Liberal
Too little,59,Female,84.5,New england,Liberal
About right,29,Female,19.7,New england,Moderate
Too little,59,Male,77.4,New england,Extremely liberal
Too little,59,Female,82.5,New england,Slightly liberal
About right,71,Male,85.2,New england,Liberal
Too much,36,Male,65.3,New england,Slghtly conservative
Too much,29,Male,32.6,New england,Liberal
Too little,28,Male,65.3,New england,Liberal
Too much,76,Female,38.8,New england,Moderate
Too little,71,Female,20.7,New england,Moderate
About right,24,Male,44.5,New england,Liberal
Too much,61,Female,72.7,New england,Extremely liberal
Too little,34,Female,92.2,New england,Liberal
About right,48,Male,37.8,New england,Moderate
Too little,27,Male,25.4,New england,Liberal
Too little,26,Female,19.6,New england,Slghtly conservative
Too little,31,Female,43.8,New england,Moderate
Too much,61,Female,71.8,New england,Conservative
About right,44,Female,74.6,New england,Moderate
Too much,84,Male,72.6,New england,Slghtly conservative
About right,73,Male,84.5,New england,Extremely liberal
About right,37,Male,28.7,New england,Slightly liberal
About right,82,Female,76.3,New england,Slghtly conservative
Too much,72,Female,28.4,New england,Extrmly conservative
Too much,37,Male,23.3,New england,Extremely liberal
Too little,32,Male,84.5,New england,Liberal
Too little,50,Male,25.2,New england,Moderate
Too little,34,Male,13.6,New england,Conservative
About right,42,Female,39.7,New england,Moderate
Too little,58,Female,60.3,New england,Liberal
About right,33,Female,20.1,New england,Extremely liberal
Too much,58,Female,20.1,New england,Moderate
Too little,22,Male,64.5,New england,Liberal
About right,24,Female,19.6,New england,Moderate
About right,32,Female,37.6,New england,Moderate
About right,20,Male,19.7,New england,Conservative
About right,19,Male,0,New england,Moderate
Too little,54,Female,76.3,New england,Slightly liberal
Too little,21,Female,39.7,New england,Liberal
Too little,55,Female,80.7,New england,Moderate
About right,42,Female,62.9,New england,Liberal
About right,65,Female,24.2,New england,Moderate
Too little,68,Female,99.9,New england,Moderate
Too little,59,Female,24.2,New england,Slghtly conservative
Too little,32,Male,28.4,New england,Liberal
Too little,51,Male,57.5,New england,Moderate
Too little,69,Male,30.9,New england,Moderate
Too little,34,Female,80.7,New england,Slightly liberal
Too little,24,Male,23.3,New england,Moderate
Too much,45,Female,20.1,New england,Moderate
About right,34,Female,26.8,New england,Moderate
Too little,58,Male,77.4,New england,Moderate
About right,47,Female,24.2,New england,Moderate
Too little,50,Male,77.4,Pacific,Slightly liberal
Too little,33,Female,91.1,Pacific,Liberal
Too little,85,Male,75.5,Pacific,Liberal
Too little,45,Female,92.8,Pacific,Liberal
About right,23,Female,21.8,Pacific,Liberal
About right,33,Male,70.5,Pacific,Liberal
Too little,51,Female,20.7,Pacific,Moderate
About right,52,Female,67.7,Pacific,Moderate
Too little,78,Female,38.8,Pacific,Liberal
Too little,69,Male,63.7,Pacific,Liberal
Too little,62,Female,39.7,Pacific,Moderate
Too little,74,Female,88.6,Pacific,Slightly liberal
Too little,76,Male,65.3,Pacific,Moderate
About right,76,Female,77.2,Pacific,Moderate
About right,47,Male,27.4,Pacific,Slightly liberal
About right,87,Female,37.6,Pacific,Slightly liberal
About right,28,Male,28.7,Pacific,Moderate
Too little,47,Male,82.5,Pacific,Extremely liberal
Too little,58,Female,85.8,Pacific,Slightly liberal
About right,32,Male,69.3,Pacific,Moderate
About right,47,Female,71.4,Pacific,Extremely liberal
Too little,27,Female,91.1,Pacific,Liberal
About right,57,Female,63.7,Pacific,Slightly liberal
About right,32,Female,64.2,Pacific,Slightly liberal
About right,24,Male,32,Pacific,Moderate
About right,81,Female,21.8,Pacific,Conservative
About right,19,Female,26.1,Pacific,Moderate
About right,41,Male,31.2,Pacific,Moderate
Too little,67,Male,34.7,Pacific,Slightly liberal
About right,36,Male,85.2,Pacific,Moderate
Too little,33,Male,87.9,Pacific,Slightly liberal
About right,48,Male,61.2,Pacific,Conservative
About right,47,Female,38.3,Pacific,Moderate
Too little,72,Female,45.3,Pacific,Moderate
About right,60,Female,76.7,Pacific,Slightly liberal
About right,45,Female,0,Pacific,Conservative
Too little,70,Female,82.5,Pacific,Liberal
About right,37,Female,43,W. sou. central,Moderate
Too little,39,Female,80.9,W. sou. central,Slightly liberal
About right,57,Female,38.8,W. sou. central,Slghtly conservative
About right,55,Female,38.8,W. sou. central,Extremely liberal
Too little,28,Male,18.6,W. sou. central,Moderate
Too little,58,Male,32,W. sou. central,Conservative
Too little,64,Female,19.6,W. sou. central,Moderate
Too little,32,Male,39.7,W. sou. central,Slightly liberal
About right,63,Male,42.9,W. sou. central,Conservative
Too little,47,Female,76.3,W. sou. central,Slightly liberal
About right,40,Female,32,W. sou. central,Moderate
Too little,38,Male,42.7,W. sou. central,Slightly liberal
About right,63,Female,41.1,W. sou. central,Conservative
About right,49,Female,76.3,W. sou. central,Conservative
Too little,74,Female,18.8,W. sou. central,Slghtly conservative
About right,66,Female,24.2,W. sou. central,Slghtly conservative
Too little,34,Male,25.2,W. sou. central,Moderate
Too little,42,Male,35.4,W. sou. central,Moderate
About right,66,Male,25.1,W. sou. central,Slightly liberal
About right,46,Female,27.6,W. sou. central,Extremely liberal
Too little,51,Male,58.2,W. sou. central,Moderate
About right,20,Female,0,W. sou. central,Liberal
Too much,54,Female,19.6,W. sou. central,Extremely liberal
About right,55,Male,28.4,W. sou. central,Liberal
About right,58,Male,28.7,W. sou. central,Moderate
About right,53,Male,99.9,W. sou. central,Moderate
About right,36,Male,70.5,W. sou. central,Conservative
Too much,76,Male,38.8,W. sou. central,Conservative
About right,33,Female,39.9,W. sou. central,Moderate
Too little,32,Male,59.1,W. sou. central,Conservative
About right,48,Female,53,W. sou. central,Slghtly conservative
About right,72,Female,75.5,W. sou. central,Conservative
Too little,66,Female,77.4,W. sou. central,Moderate
About right,85,Female,38.8,W. sou. central,Extrmly conservative
Too much,68,Female,43,W. sou. central,Slghtly conservative
About right,53,Male,71.8,W. sou. central,Conservative
About right,25,Female,24.6,W. sou. central,Conservative
About right,52,Male,26.5,W. sou. central,Conservative
About right,80,Female,24.2,W. sou. central,Moderate
Too much,67,Male,79.4,W. sou. central,Conservative
About right,21,Female,21.8,W. sou. central,Moderate
About right,31,Female,22.1,W. sou. central,Moderate
Too little,69,Male,58.2,W. sou. central,Extrmly conservative
Too little,47,Female,80.9,W. sou. central,Conservative
Too little,34,Male,57.8,W. sou. central,Moderate
About right,53,Female,20.1,W. sou. central,Moderate
About right,47,Female,33.3,W. sou. central,Slghtly conservative
About right,57,Male,45.4,W. sou. central,Slightly liberal
Too little,58,Female,75.5,W. sou. central,Moderate
About right,55,Female,35.8,W. sou. central,Extrmly conservative
About right,65,Female,37.6,W. sou. central,Moderate
About right,62,Female,75.5,W. sou. central,Conservative
About right,26,Female,28.6,W. sou. central,Moderate
About right,31,Female,66.1,W. sou. central,Moderate
