dep_time,flight,origin,dest,air_time,distance,carrier,date,arr_delay,time_hour
1200,423,JFK,LAX,337,2475,DL,2013-12-02,on_time,2013-12-02T17:00:00Z
1842,130,JFK,BUF,66,301,B6,2013-01-15,on_time,2013-01-15T23:00:00Z
641,413,JFK,SJU,201,1598,AA,2013-05-21,on_time,2013-05-21T10:00:00Z
1802,4277,JFK,ORF,53,290,9E,2013-04-05,on_time,2013-04-05T22:00:00Z
800,346,JFK,TPA,145,1005,DL,2013-11-22,on_time,2013-11-22T13:00:00Z
18,515,EWR,FLL,161,1065,B6,2013-03-12,late,2013-03-13T01:00:00Z
600,303,JFK,SFO,356,2586,UA,2013-03-27,on_time,2013-03-27T10:00:00Z
1256,1880,LGA,STL,143,888,WN,2013-11-08,on_time,2013-11-08T17:00:00Z
1555,4,JFK,MCO,137,944,DL,2013-02-22,on_time,2013-02-22T21:00:00Z
557,5956,LGA,CLE,65,419,EV,2013-10-02,on_time,2013-10-02T10:00:00Z
855,3809,EWR,GSO,74,445,EV,2013-03-23,late,2013-03-23T11:00:00Z
859,515,LGA,MIA,169,1096,DL,2013-04-12,on_time,2013-04-12T13:00:00Z
1935,1854,LGA,FLL,150,1076,DL,2013-05-27,on_time,2013-05-27T23:00:00Z
1734,3878,LGA,CVG,89,585,9E,2013-10-13,on_time,2013-10-13T21:00:00Z
1956,4121,JFK,PHL,33,94,9E,2013-10-13,late,2013-10-13T22:00:00Z
1448,3231,JFK,PIT,63,340,MQ,2013-09-24,on_time,2013-09-24T18:00:00Z
906,557,EWR,SFO,357,2565,UA,2013-05-28,late,2013-05-28T12:00:00Z
2042,4079,JFK,BWI,34,184,9E,2013-08-17,on_time,2013-08-18T00:00:00Z
733,1289,EWR,SJU,203,1608,B6,2013-12-11,on_time,2013-12-11T12:00:00Z
2006,5454,EWR,DTW,68,488,EV,2013-08-14,on_time,2013-08-14T23:00:00Z
1029,4249,EWR,IAD,40,212,EV,2013-04-27,on_time,2013-04-27T14:00:00Z
600,3525,LGA,RDU,69,431,MQ,2013-11-19,on_time,2013-11-19T11:00:00Z
1151,4162,EWR,STL,151,872,EV,2013-11-05,late,2013-11-05T15:00:00Z
1838,4517,LGA,CRW,82,444,MQ,2013-04-04,on_time,2013-04-04T22:00:00Z
2238,486,JFK,ROC,46,264,B6,2013-08-05,on_time,2013-08-06T02:00:00Z
1924,195,JFK,LAS,295,2248,B6,2013-06-03,on_time,2013-06-03T22:00:00Z
1055,497,EWR,PBI,146,1023,UA,2013-10-18,late,2013-10-18T13:00:00Z
1607,1039,JFK,FLL,215,1069,AA,2013-03-24,late,2013-03-24T19:00:00Z
1347,1425,EWR,LAX,318,2454,UA,2013-06-03,on_time,2013-06-03T17:00:00Z
637,1701,EWR,FLL,148,1065,UA,2013-08-24,on_time,2013-08-24T10:00:00Z
1148,401,EWR,ATL,108,746,DL,2013-05-10,on_time,2013-05-10T15:00:00Z
2030,3748,JFK,PHL,25,94,9E,2013-08-30,on_time,2013-08-31T00:00:00Z
848,3466,JFK,DCA,40,213,9E,2013-08-16,on_time,2013-08-16T12:00:00Z
654,1263,JFK,LAS,299,2248,AA,2013-09-12,on_time,2013-09-12T10:00:00Z
818,857,JFK,SAN,317,2446,DL,2013-06-23,on_time,2013-06-23T12:00:00Z
1656,359,JFK,BUR,351,2465,B6,2013-02-07,on_time,2013-02-07T21:00:00Z
1022,179,JFK,SFO,338,2586,AA,2013-03-29,on_time,2013-03-29T14:00:00Z
1206,423,JFK,LAX,340,2475,DL,2013-12-01,on_time,2013-12-01T17:00:00Z
1843,2185,LGA,DCA,63,214,US,2013-07-01,late,2013-07-01T22:00:00Z
1206,5711,JFK,IAD,47,228,EV,2013-03-21,late,2013-03-21T14:00:00Z
1341,186,EWR,PHX,297,2133,US,2013-04-14,on_time,2013-04-14T17:00:00Z
1454,2132,LGA,BOS,38,184,US,2013-06-03,on_time,2013-06-03T19:00:00Z
1702,207,EWR,SFO,325,2565,UA,2013-06-09,on_time,2013-06-09T20:00:00Z
1132,1174,EWR,BOS,51,200,B6,2013-06-12,on_time,2013-06-12T15:00:00Z
1103,1031,LGA,DTW,81,502,DL,2013-08-11,on_time,2013-08-11T15:00:00Z
626,1099,LGA,MCO,123,950,B6,2013-08-02,on_time,2013-08-02T10:00:00Z
2025,21,JFK,LAX,349,2475,AA,2013-06-27,late,2013-06-27T23:00:00Z
1203,523,EWR,MCO,124,937,B6,2013-03-10,on_time,2013-03-10T16:00:00Z
700,1103,EWR,PDX,340,2434,UA,2013-08-01,on_time,2013-08-01T11:00:00Z
2048,3744,EWR,ORD,124,719,MQ,2013-01-28,on_time,2013-01-29T02:00:00Z
825,509,LGA,DEN,244,1620,F9,2013-11-17,on_time,2013-11-17T13:00:00Z
1153,3,JFK,LAX,334,2475,AA,2013-12-11,on_time,2013-12-11T17:00:00Z
2008,4649,LGA,MSP,135,1020,MQ,2013-03-12,late,2013-03-12T22:00:00Z
1016,1004,JFK,BOS,34,187,B6,2013-05-06,on_time,2013-05-06T14:00:00Z
1050,1078,EWR,EGE,250,1725,UA,2013-12-22,on_time,2013-12-22T15:00:00Z
853,905,JFK,ORD,112,740,B6,2013-12-02,late,2013-12-02T12:00:00Z
2111,3542,JFK,MSP,166,1029,9E,2013-01-27,late,2013-01-27T23:00:00Z
1201,1947,LGA,ATL,118,762,DL,2013-03-19,on_time,2013-03-19T16:00:00Z
925,57,JFK,PBI,149,1028,B6,2013-01-05,on_time,2013-01-05T14:00:00Z
1021,1081,EWR,CLT,84,529,US,2013-03-28,on_time,2013-03-28T14:00:00Z
601,963,EWR,CLE,70,404,UA,2013-02-13,on_time,2013-02-13T11:00:00Z
1623,4983,LGA,GSO,66,461,EV,2013-03-06,late,2013-03-06T19:00:00Z
1631,3075,JFK,CVG,96,589,MQ,2013-07-29,on_time,2013-07-29T20:00:00Z
812,3538,JFK,MSP,154,1029,9E,2013-08-11,on_time,2013-08-11T12:00:00Z
701,3,JFK,SJU,197,1598,B6,2013-12-23,on_time,2013-12-23T12:00:00Z
1639,1284,EWR,SFO,345,2565,UA,2013-10-29,on_time,2013-10-29T20:00:00Z
848,15,JFK,SFO,328,2586,B6,2013-08-16,on_time,2013-08-16T12:00:00Z
1801,2147,LGA,ATL,117,762,DL,2013-11-30,on_time,2013-11-30T23:00:00Z
1851,201,JFK,FLL,154,1069,B6,2013-12-13,on_time,2013-12-13T23:00:00Z
1632,161,JFK,LAS,296,2248,DL,2013-04-18,on_time,2013-04-18T20:00:00Z
644,318,JFK,BOS,41,187,B6,2013-08-16,on_time,2013-08-16T10:00:00Z
1643,181,JFK,LAX,306,2475,AA,2013-02-28,on_time,2013-02-28T21:00:00Z
1330,36,JFK,ROC,54,264,B6,2013-06-06,on_time,2013-06-06T17:00:00Z
2002,532,EWR,PDX,313,2434,UA,2013-08-17,on_time,2013-08-17T23:00:00Z
802,59,JFK,SFO,350,2586,AA,2013-12-23,on_time,2013-12-23T13:00:00Z
931,1983,EWR,AUS,187,1504,WN,2013-07-08,on_time,2013-07-08T13:00:00Z
1649,3846,EWR,AVL,82,583,EV,2013-09-20,late,2013-09-20T19:00:00Z
2034,677,JFK,LAX,351,2475,B6,2013-01-29,on_time,2013-01-30T01:00:00Z
634,1602,LGA,IAH,237,1416,UA,2013-01-15,on_time,2013-01-15T11:00:00Z
1502,4326,EWR,CLT,82,529,EV,2013-09-20,on_time,2013-09-20T19:00:00Z
1451,1122,EWR,PBI,158,1023,UA,2013-03-13,on_time,2013-03-13T18:00:00Z
1500,2347,LGA,ATL,114,762,DL,2013-12-06,on_time,2013-12-06T19:00:00Z
2240,4570,EWR,GRR,111,605,EV,2013-03-15,late,2013-03-15T23:00:00Z
1321,1242,EWR,LAX,328,2454,UA,2013-06-01,on_time,2013-06-01T17:00:00Z
1620,12,JFK,SYR,47,209,B6,2013-02-28,on_time,2013-02-28T20:00:00Z
813,219,JFK,CLT,104,541,B6,2013-01-22,on_time,2013-01-22T13:00:00Z
652,1263,JFK,LAS,300,2248,AA,2013-10-13,on_time,2013-10-13T10:00:00Z
2046,2905,JFK,BOS,38,187,9E,2013-12-13,on_time,2013-12-14T01:00:00Z
727,183,EWR,SFO,323,2565,VX,2013-08-27,on_time,2013-08-27T11:00:00Z
1653,1499,LGA,ATL,109,762,DL,2013-02-03,on_time,2013-02-03T22:00:00Z
1801,837,LGA,DEN,198,1620,F9,2013-07-18,late,2013-07-18T21:00:00Z
1922,6,JFK,SLC,272,1990,DL,2013-04-17,on_time,2013-04-17T23:00:00Z
922,1223,EWR,DFW,171,1372,AA,2013-09-27,on_time,2013-09-27T13:00:00Z
918,4495,EWR,SAV,103,708,EV,2013-04-16,on_time,2013-04-16T13:00:00Z
548,371,LGA,FLL,143,1076,B6,2013-05-28,on_time,2013-05-28T10:00:00Z
1632,1705,LGA,MSY,181,1183,DL,2013-04-12,late,2013-04-12T19:00:00Z
913,1085,JFK,MIA,189,1089,AA,2013-11-27,on_time,2013-11-27T14:00:00Z
1903,2280,JFK,FLL,156,1069,DL,2013-12-25,late,2013-12-25T20:00:00Z
955,251,JFK,LAS,315,2248,VX,2013-06-16,on_time,2013-06-16T13:00:00Z
1657,1284,EWR,SFO,329,2565,UA,2013-08-22,on_time,2013-08-22T20:00:00Z
929,746,EWR,AUS,227,1504,WN,2013-10-15,on_time,2013-10-15T13:00:00Z
1450,668,EWR,MCO,136,937,UA,2013-03-16,on_time,2013-03-16T18:00:00Z
1539,1344,LGA,MCI,153,1107,DL,2013-03-13,on_time,2013-03-13T19:00:00Z
726,183,EWR,SFO,317,2565,VX,2013-06-08,on_time,2013-06-08T11:00:00Z
629,575,EWR,ATL,105,746,DL,2013-05-15,on_time,2013-05-15T10:00:00Z
1858,2391,JFK,TPA,129,1005,DL,2013-09-08,on_time,2013-09-08T22:00:00Z
1321,308,JFK,PWM,52,273,B6,2013-10-29,on_time,2013-10-29T17:00:00Z
1540,85,JFK,SFO,342,2586,AA,2013-12-14,on_time,2013-12-14T20:00:00Z
644,318,JFK,BOS,39,187,B6,2013-07-30,on_time,2013-07-30T10:00:00Z
1531,668,EWR,TPA,147,997,UA,2013-02-02,late,2013-02-02T19:00:00Z
2353,739,JFK,PSE,193,1617,B6,2013-01-14,on_time,2013-01-15T04:00:00Z
1047,1471,LGA,FLL,160,1076,B6,2013-04-13,on_time,2013-04-13T14:00:00Z
1723,687,EWR,CLT,79,529,US,2013-09-17,on_time,2013-09-17T21:00:00Z
1640,3216,JFK,ORF,49,290,MQ,2013-09-21,on_time,2013-09-21T20:00:00Z
1627,4328,EWR,MSY,155,1167,EV,2013-08-31,on_time,2013-08-31T20:00:00Z
855,795,JFK,AUS,236,1521,B6,2013-10-18,late,2013-10-18T12:00:00Z
2351,1816,JFK,SYR,44,209,B6,2013-08-09,late,2013-08-10T02:00:00Z
2149,4370,EWR,CHS,89,628,EV,2013-07-03,late,2013-07-04T00:00:00Z
1919,245,JFK,PHX,304,2153,DL,2013-10-17,late,2013-10-17T23:00:00Z
829,398,EWR,PDX,314,2434,UA,2013-10-13,on_time,2013-10-13T12:00:00Z
1702,1665,EWR,LAX,345,2454,UA,2013-11-04,on_time,2013-11-04T21:00:00Z
1050,3828,EWR,RDU,71,416,EV,2013-09-25,on_time,2013-09-25T14:00:00Z
1553,2181,LGA,DCA,42,214,US,2013-05-05,on_time,2013-05-05T20:00:00Z
1128,954,LGA,FLL,154,1076,DL,2013-07-31,on_time,2013-07-31T15:00:00Z
835,4638,EWR,CVG,96,569,EV,2013-04-04,on_time,2013-04-04T12:00:00Z
1549,341,LGA,ORD,117,733,AA,2013-05-27,late,2013-05-27T19:00:00Z
1353,2177,LGA,DCA,55,214,US,2013-01-17,on_time,2013-01-17T19:00:00Z
1138,1552,LGA,RSW,159,1080,DL,2013-04-10,on_time,2013-04-10T15:00:00Z
823,4193,EWR,MSP,155,1008,EV,2013-12-24,on_time,2013-12-24T13:00:00Z
1634,1601,EWR,FLL,176,1065,UA,2013-05-11,late,2013-05-11T20:00:00Z
1615,1619,LGA,MSP,151,1020,DL,2013-11-30,on_time,2013-11-30T21:00:00Z
932,1172,EWR,BOS,52,200,B6,2013-03-08,late,2013-03-08T13:00:00Z
715,365,LGA,STL,156,888,WN,2013-11-22,on_time,2013-11-22T12:00:00Z
1308,1979,EWR,CLT,75,529,US,2013-08-09,on_time,2013-08-09T17:00:00Z
1641,3400,JFK,MKE,124,745,9E,2013-08-12,late,2013-08-12T20:00:00Z
1559,343,LGA,ORD,111,733,AA,2013-10-02,on_time,2013-10-02T20:00:00Z
1214,4640,EWR,DAY,85,533,EV,2013-06-13,on_time,2013-06-13T16:00:00Z
2246,3340,JFK,JAX,128,828,9E,2013-03-18,late,2013-03-18T23:00:00Z
1532,1211,EWR,AUS,191,1504,UA,2013-06-23,on_time,2013-06-23T19:00:00Z
751,4364,EWR,MCI,150,1092,EV,2013-09-25,on_time,2013-09-25T11:00:00Z
1006,4389,EWR,STL,137,872,EV,2013-03-14,on_time,2013-03-14T13:00:00Z
1138,401,EWR,ATL,108,746,DL,2013-08-05,on_time,2013-08-05T15:00:00Z
1657,1491,LGA,ORD,105,733,UA,2013-06-20,on_time,2013-06-20T21:00:00Z
1528,236,EWR,DEN,230,1605,UA,2013-04-26,on_time,2013-04-26T19:00:00Z
2225,4204,EWR,OKC,286,1325,EV,2013-01-02,late,2013-01-03T00:00:00Z
1450,3828,EWR,JAX,134,820,EV,2013-02-28,on_time,2013-02-28T19:00:00Z
2010,177,JFK,SFO,327,2586,AA,2013-01-04,late,2013-01-04T22:00:00Z
1034,277,EWR,LAS,288,2227,UA,2013-06-06,on_time,2013-06-06T14:00:00Z
551,5716,JFK,IAD,54,228,EV,2013-11-02,on_time,2013-11-02T10:00:00Z
1204,4240,EWR,BUF,59,282,EV,2013-11-13,on_time,2013-11-13T17:00:00Z
1829,305,EWR,ORD,127,719,UA,2013-04-05,late,2013-04-05T22:00:00Z
1723,1307,JFK,IAD,46,228,B6,2013-06-05,on_time,2013-06-05T21:00:00Z
1514,4634,EWR,RDU,72,416,EV,2013-01-23,on_time,2013-01-23T20:00:00Z
1639,4372,EWR,DCA,37,199,EV,2013-07-13,on_time,2013-07-13T20:00:00Z
2037,3395,JFK,DCA,43,213,9E,2013-03-10,on_time,2013-03-11T00:00:00Z
1237,2041,JFK,MIA,142,1089,AA,2013-03-04,on_time,2013-03-04T17:00:00Z
632,4258,EWR,CLT,78,529,EV,2013-09-11,on_time,2013-09-11T10:00:00Z
1317,507,LGA,DEN,224,1620,F9,2013-05-28,on_time,2013-05-28T17:00:00Z
1137,1421,LGA,RSW,177,1080,DL,2013-03-01,on_time,2013-03-01T16:00:00Z
806,1305,JFK,IAD,52,228,B6,2013-03-13,late,2013-03-13T10:00:00Z
1456,3391,LGA,CMH,78,479,MQ,2013-11-03,on_time,2013-11-03T20:00:00Z
955,1847,LGA,ATL,104,762,DL,2013-09-04,on_time,2013-09-04T14:00:00Z
1653,1905,EWR,DFW,192,1372,AA,2013-04-28,on_time,2013-04-28T20:00:00Z
1949,301,EWR,IAH,201,1400,UA,2013-04-15,on_time,2013-04-15T23:00:00Z
1035,4510,EWR,MKE,105,725,EV,2013-07-27,on_time,2013-07-27T14:00:00Z
1709,1601,JFK,FLL,152,1069,B6,2013-12-24,on_time,2013-12-24T22:00:00Z
2053,4258,EWR,IAD,44,212,EV,2013-03-03,late,2013-03-04T00:00:00Z
821,397,JFK,SFO,355,2586,UA,2013-06-25,late,2013-06-25T12:00:00Z
822,84,JFK,BOS,39,187,AA,2013-11-06,on_time,2013-11-06T13:00:00Z
725,11,EWR,SEA,334,2402,AS,2013-03-02,on_time,2013-03-02T12:00:00Z
1837,4410,JFK,DCA,56,213,MQ,2013-01-30,late,2013-01-30T22:00:00Z
1643,5199,LGA,CHS,93,641,EV,2013-07-26,late,2013-07-26T19:00:00Z
1000,5711,JFK,IAD,57,228,EV,2013-02-24,on_time,2013-02-24T15:00:00Z
1353,2150,LGA,BOS,41,184,US,2013-11-14,on_time,2013-11-14T19:00:00Z
654,1865,JFK,SFO,343,2586,DL,2013-02-14,on_time,2013-02-14T12:00:00Z
1057,109,EWR,LAS,295,2227,UA,2013-03-14,on_time,2013-03-14T14:00:00Z
1630,629,JFK,PHX,310,2153,US,2013-10-16,on_time,2013-10-16T20:00:00Z
1813,1177,LGA,ORD,154,733,UA,2013-03-15,late,2013-03-15T22:00:00Z
928,4380,EWR,MSP,146,1008,EV,2013-06-13,on_time,2013-06-13T13:00:00Z
1928,1435,LGA,TPA,136,1010,DL,2013-09-15,on_time,2013-09-15T23:00:00Z
1615,283,JFK,MCO,128,944,B6,2013-07-20,on_time,2013-07-20T20:00:00Z
1346,4175,EWR,AVL,92,583,EV,2013-12-13,on_time,2013-12-13T18:00:00Z
826,3521,JFK,ORD,126,740,9E,2013-04-17,late,2013-04-17T12:00:00Z
1259,411,JFK,LAX,328,2475,VX,2013-09-16,on_time,2013-09-16T17:00:00Z
929,679,JFK,LAX,318,2475,B6,2013-05-22,on_time,2013-05-22T13:00:00Z
743,4237,EWR,CHS,86,628,EV,2013-05-19,on_time,2013-05-19T11:00:00Z
1657,127,JFK,LAX,341,2475,DL,2013-01-22,on_time,2013-01-22T22:00:00Z
945,469,LGA,BNA,117,764,WN,2013-01-10,on_time,2013-01-10T14:00:00Z
1208,1644,EWR,SNA,325,2434,UA,2013-05-23,on_time,2013-05-23T16:00:00Z
1900,3429,JFK,JAX,106,828,9E,2013-09-15,on_time,2013-09-15T23:00:00Z
2051,21,JFK,LAX,326,2475,AA,2013-06-23,late,2013-06-23T23:00:00Z
628,135,LGA,DEN,245,1620,WN,2013-01-28,on_time,2013-01-28T11:00:00Z
1931,402,JFK,BOS,36,187,DL,2013-07-01,late,2013-07-01T20:00:00Z
855,1581,EWR,SEA,341,2402,UA,2013-04-04,on_time,2013-04-04T12:00:00Z
826,1718,EWR,MCO,142,937,UA,2013-03-18,on_time,2013-03-18T12:00:00Z
631,929,JFK,RSW,158,1074,B6,2013-08-11,on_time,2013-08-11T10:00:00Z
934,4380,EWR,MSP,155,1008,EV,2013-11-01,on_time,2013-11-01T13:00:00Z
1104,403,JFK,SJU,202,1598,B6,2013-06-26,late,2013-06-26T14:00:00Z
1209,483,EWR,MDW,115,711,WN,2013-11-24,on_time,2013-11-24T17:00:00Z
1745,19,EWR,STL,122,872,WN,2013-06-12,on_time,2013-06-12T21:00:00Z
1832,270,EWR,DEN,224,1605,UA,2013-03-27,on_time,2013-03-27T22:00:00Z
1142,935,EWR,ATL,112,746,DL,2013-02-20,on_time,2013-02-20T16:00:00Z
908,313,LGA,ORD,106,733,AA,2013-05-31,on_time,2013-05-31T13:00:00Z
822,3363,JFK,RDU,72,427,MQ,2013-08-12,on_time,2013-08-12T12:00:00Z
2106,4181,EWR,BDL,22,116,EV,2013-03-09,on_time,2013-03-10T02:00:00Z
1953,4555,LGA,CMH,73,479,MQ,2013-05-13,on_time,2013-05-14T00:00:00Z
948,503,EWR,FLL,159,1065,B6,2013-02-17,on_time,2013-02-17T14:00:00Z
1100,3644,LGA,ATL,100,762,MQ,2013-09-29,late,2013-09-29T14:00:00Z
1034,1070,EWR,FLL,162,1065,UA,2013-02-28,on_time,2013-02-28T15:00:00Z
800,1511,EWR,RSW,133,1068,B6,2013-09-29,on_time,2013-09-29T12:00:00Z
920,721,LGA,DFW,209,1389,AA,2013-02-14,on_time,2013-02-14T14:00:00Z
1332,4612,EWR,MSP,151,1008,EV,2013-03-29,on_time,2013-03-29T17:00:00Z
1456,1883,JFK,MCO,132,944,B6,2013-12-18,on_time,2013-12-18T19:00:00Z
810,269,JFK,ATL,123,760,DL,2013-01-25,on_time,2013-01-25T13:00:00Z
2024,917,JFK,ORD,121,740,B6,2013-06-03,on_time,2013-06-04T00:00:00Z
828,3854,EWR,DTW,75,488,EV,2013-08-21,on_time,2013-08-21T12:00:00Z
1820,4128,EWR,MDW,121,711,WN,2013-11-23,on_time,2013-11-23T23:00:00Z
1604,4352,EWR,CVG,81,569,EV,2013-09-27,on_time,2013-09-27T20:00:00Z
1602,4326,EWR,CLT,98,529,EV,2013-01-30,late,2013-01-30T20:00:00Z
1629,3044,JFK,BWI,38,184,MQ,2013-12-19,on_time,2013-12-19T21:00:00Z
556,569,EWR,ORD,111,719,UA,2013-06-12,on_time,2013-06-12T10:00:00Z
1840,3134,EWR,ORD,117,719,MQ,2013-11-18,on_time,2013-11-18T23:00:00Z
1014,518,JFK,BOS,50,187,B6,2013-09-01,on_time,2013-09-01T14:00:00Z
1555,134,LGA,BNA,121,764,WN,2013-10-29,on_time,2013-10-29T19:00:00Z
1652,1367,JFK,SAT,236,1587,DL,2013-03-22,on_time,2013-03-22T20:00:00Z
1003,1433,LGA,ORD,107,733,UA,2013-05-09,on_time,2013-05-09T14:00:00Z
1352,1775,LGA,MIA,158,1096,DL,2013-11-22,on_time,2013-11-22T18:00:00Z
2056,4033,LGA,TYS,93,647,9E,2013-11-27,on_time,2013-11-28T01:00:00Z
1658,1585,LGA,MCO,128,950,DL,2013-09-04,on_time,2013-09-04T21:00:00Z
1342,222,EWR,IAH,197,1400,UA,2013-10-29,late,2013-10-29T15:00:00Z
1452,581,JFK,HOU,189,1428,B6,2013-08-01,on_time,2013-08-01T18:00:00Z
909,161,EWR,LAX,285,2454,VX,2013-07-14,on_time,2013-07-14T13:00:00Z
1633,1819,LGA,MSP,168,1020,DL,2013-12-10,late,2013-12-10T19:00:00Z
1628,133,JFK,LAX,310,2475,AA,2013-07-01,late,2013-07-01T19:00:00Z
601,707,LGA,DFW,180,1389,AA,2013-07-31,on_time,2013-07-31T10:00:00Z
616,1963,EWR,CLT,88,529,US,2013-12-23,on_time,2013-12-23T11:00:00Z
2117,794,EWR,FLL,154,1065,UA,2013-03-18,late,2013-03-19T00:00:00Z
2011,1629,JFK,LAS,277,2248,DL,2013-06-29,late,2013-06-29T23:00:00Z
1544,4,JFK,MCO,134,944,DL,2013-05-08,on_time,2013-05-08T19:00:00Z
959,5711,JFK,IAD,55,228,EV,2013-01-23,on_time,2013-01-23T15:00:00Z
1523,3823,JFK,DCA,54,213,MQ,2013-01-08,on_time,2013-01-08T20:00:00Z
1441,2079,LGA,FLL,152,1076,DL,2013-03-07,on_time,2013-03-07T19:00:00Z
1253,3388,LGA,CMH,79,479,MQ,2013-12-01,on_time,2013-12-01T17:00:00Z
1454,4971,LGA,CHS,91,641,EV,2013-05-06,on_time,2013-05-06T19:00:00Z
1829,3365,JFK,DCA,58,213,MQ,2013-06-23,late,2013-06-23T21:00:00Z
902,1616,JFK,SEA,313,2422,DL,2013-09-24,on_time,2013-09-24T13:00:00Z
1711,3365,JFK,DCA,40,213,MQ,2013-08-25,on_time,2013-08-25T21:00:00Z
1457,1744,LGA,IAH,207,1416,UA,2013-10-26,on_time,2013-10-26T18:00:00Z
1030,53,JFK,PBI,142,1028,B6,2013-08-12,on_time,2013-08-12T14:00:00Z
2138,3853,EWR,BUF,50,282,EV,2013-06-28,late,2013-06-28T21:00:00Z
827,821,EWR,SFO,323,2565,UA,2013-09-03,on_time,2013-09-03T12:00:00Z
2109,4323,EWR,CVG,99,569,EV,2013-02-01,late,2013-02-01T22:00:00Z
627,4334,EWR,CMH,72,463,EV,2013-06-27,on_time,2013-06-27T10:00:00Z
2004,4321,EWR,MCI,150,1092,EV,2013-10-02,on_time,2013-10-03T00:00:00Z
1953,4533,LGA,CLE,68,419,EV,2013-05-12,on_time,2013-05-12T23:00:00Z
1245,2098,LGA,MIA,162,1096,DL,2013-08-23,on_time,2013-08-23T16:00:00Z
1840,263,JFK,SEA,376,2422,B6,2013-11-18,on_time,2013-11-18T23:00:00Z
1658,1801,JFK,FLL,151,1069,B6,2013-06-21,on_time,2013-06-21T20:00:00Z
1052,187,EWR,SFO,333,2565,VX,2013-05-14,on_time,2013-05-14T14:00:00Z
953,65,JFK,TPA,137,1005,B6,2013-05-26,on_time,2013-05-26T14:00:00Z
2259,3395,JFK,DCA,42,213,9E,2013-08-01,late,2013-08-02T00:00:00Z
1503,3824,EWR,STL,141,872,EV,2013-02-18,on_time,2013-02-18T20:00:00Z
1831,3944,JFK,BWI,47,184,MQ,2013-02-15,on_time,2013-02-15T23:00:00Z
2027,1464,EWR,CLE,80,404,UA,2013-12-11,on_time,2013-12-12T01:00:00Z
855,1747,LGA,ATL,105,762,DL,2013-05-05,on_time,2013-05-05T12:00:00Z
